date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD;portfolio
31.03.2008;-9.77%;-8.47%;4.47%;3.14%;0.73%;-2.03%;6.85%;2.34%;-6.84%;-5.36%;0.70%;13.39%;1.12%;-2.31%;-1.58%;-0.77%;-5.11%;8.51%;2.56%;2.29%;8.75%;-0.25%;-12.03%;-7.81%;1.76%;6.05%;15.22%;1.74%;2.78%;0.28%;-1.72%;4.91%;-0.84%;-1.32%;-1.59%;-4.09%;5.47%;5.39%;2.47%;-0.52%;0.57%;-1.90%;3.59%;-4.60%;-3.70%;0.58%;-0.76%;-4.03%;-2.23%;1.61%;
30.04.2008;-5.87%;7.05%;2.65%;4.55%;7.50%;8.19%;9.94%;-4.63%;33.81%;7.68%;1.66%;-1.65%;18.41%;5.07%;4.79%;7.09%;18.49%;5.36%;11.43%;10.23%;6.28%;7.70%;-10.70%;5.00%;19.55%;3.24%;8.08%;3.38%;5.34%;6.40%;11.95%;12.26%;16.26%;-3.25%;1.42%;-7.93%;-5.56%;4.51%;16.64%;-1.44%;-8.42%;1.95%;7.00%;3.64%;2.82%;-9.95%;8.55%;-1.36%;10.47%;4.76%;
31.05.2008;17.52%;-9.90%;0.69%;0.20%;3.55%;-1.96%;-2.74%;-2.45%;12.40%;6.93%;15.57%;-17.95%;9.32%;9.75%;-0.72%;2.03%;4.23%;0.39%;7.80%;4.06%;-1.86%;-1.84%;-5.11%;-17.68%;6.24%;-10.51%;2.56%;3.38%;7.92%;-1.46%;2.55%;-0.93%;-5.59%;1.03%;2.70%;3.71%;7.97%;4.82%;4.40%;5.83%;-0.17%;0.70%;3.39%;11.78%;3.16%;-0.13%;-1.05%;7.03%;1.41%;0.19%;
30.06.2008;-9.18%;-14.73%;-6.12%;-7.08%;-3.00%;4.65%;-7.69%;-27.47%;-6.79%;-3.85%;-8.16%;-14.22%;-10.22%;-4.07%;-4.01%;-3.48%;-10.12%;-10.86%;-12.64%;5.33%;-14.41%;-7.51%;-35.24%;-9.28%;-5.15%;-21.63%;-4.20%;-17.84%;-8.82%;-14.62%;-9.78%;-0.17%;-13.32%;-8.91%;-8.22%;-2.05%;-24.91%;1.29%;-15.59%;-22.53%;-11.15%;-7.72%;-19.43%;-21.80%;-5.54%;-6.49%;1.84%;-14.83%;-10.36%;-0.87%;
31.07.2008;20.93%;-15.17%;-11.45%;-1.26%;-3.26%;7.68%;7.39%;11.06%;1.25%;-9.40%;-9.22%;2.49%;2.60%;-2.26%;1.56%;-5.37%;-12.40%;15.00%;2.32%;-10.66%;6.10%;-1.02%;23.85%;-15.28%;2.69%;21.68%;11.12%;5.25%;12.60%;-8.00%;14.43%;-22.85%;24.32%;9.10%;5.70%;5.51%;1.78%;-7.13%;8.23%;19.93%;12.36%;-0.14%;-15.36%;7.38%;-10.83%;15.25%;-3.99%;0.98%;1.04%;-2.63%;
31.08.2008;4.24%;-11.07%;1.96%;1.87%;-3.53%;-1.24%;6.53%;6.47%;-1.78%;0.52%;9.29%;12.05%;-0.50%;2.88%;3.02%;-5.01%;0.60%;-3.30%;8.74%;-1.24%;4.50%;3.15%;4.27%;14.89%;-1.66%;10.48%;-1.17%;7.40%;-11.71%;17.09%;2.84%;-8.25%;9.87%;6.57%;3.66%;1.23%;6.07%;-3.32%;1.30%;11.26%;-5.54%;7.80%;-0.43%;16.59%;9.96%;4.04%;4.04%;9.61%;15.65%;13.91%;
30.09.2008;-4.81%;-13.50%;4.07%;-6.76%;-25.43%;-3.14%;-8.60%;-4.05%;-32.73%;-7.49%;-5.62%;5.21%;-17.45%;-4.84%;6.54%;-13.11%;-8.72%;0.84%;-16.44%;-7.04%;12.81%;0.10%;9.15%;-8.91%;-16.32%;-25.22%;-8.45%;-15.66%;-2.03%;-2.40%;-10.19%;-24.76%;-3.30%;-2.22%;-6.44%;-2.91%;-20.40%;-3.59%;-7.17%;-5.94%;-15.95%;-12.95%;-16.29%;0.20%;-34.58%;7.21%;-2.19%;-7.02%;6.83%;-0.51%;
31.10.2008;-19.49%;-5.39%;-24.63%;-15.52%;-14.60%;-7.53%;-23.76%;-7.39%;-40.19%;-17.80%;-52.59%;-43.32%;-21.65%;-10.93%;0.84%;-10.12%;-26.07%;-17.05%;-25.76%;-22.14%;-27.87%;-30.15%;20.16%;-36.68%;-25.27%;-45.75%;-14.80%;-59.73%;-28.29%;-28.21%;-21.74%;3.73%;-25.38%;-8.02%;-14.99%;-23.76%;-25.90%;-20.38%;-29.83%;-3.44%;-23.48%;-21.04%;-34.70%;-27.14%;-27.68%;-7.43%;-8.83%;-21.27%;-5.09%;-4.83%;
30.11.2008;4.46%;32.08%;4.56%;9.65%;-17.84%;-12.55%;-24.66%;12.50%;-2.18%;-0.88%;-18.69%;-6.91%;-6.11%;5.35%;-6.76%;-6.15%;-18.54%;-11.13%;3.12%;12.31%;-5.60%;-13.25%;-15.34%;14.87%;-0.26%;-19.52%;-4.99%;-19.28%;6.82%;-36.46%;-18.50%;-11.92%;-1.03%;-2.27%;-11.42%;10.70%;12.58%;1.10%;-2.44%;1.82%;-2.86%;-2.90%;-25.69%;10.50%;2.45%;-1.42%;2.72%;-11.19%;-3.02%;0.59%;
31.12.2008;-9.84%;5.83%;-0.42%;-6.52%;5.26%;1.30%;3.00%;-0.58%;5.37%;0.37%;22.39%;2.91%;11.37%;-4.09%;-2.26%;-3.83%;-3.62%;-11.24%;11.14%;-16.26%;7.33%;23.65%;-4.25%;-7.04%;5.00%;13.47%;-2.35%;37.22%;0.35%;39.79%;13.62%;29.48%;5.26%;5.69%;-2.32%;0.33%;4.67%;-5.16%;10.28%;-3.64%;-6.60%;7.27%;11.35%;17.42%;-37.78%;4.80%;-3.58%;5.24%;5.41%;-5.44%;
31.01.2009;-6.91%;-5.03%;-49.37%;1.89%;0.99%;9.98%;-20.27%;-23.62%;-10.29%;16.22%;15.67%;-15.26%;-14.09%;-1.80%;4.68%;2.42%;-16.96%;-12.69%;-10.04%;2.90%;-17.51%;-32.66%;-61.76%;-9.79%;-6.38%;-22.69%;-15.23%;-19.69%;-20.51%;-25.27%;10.93%;-11.02%;-11.80%;4.17%;-11.43%;-18.59%;-19.23%;-5.23%;-23.36%;4.13%;-40.43%;-7.35%;13.98%;-28.92%;-7.14%;-13.72%;3.59%;-24.98%;-8.47%;-5.15%;
28.02.2009;-6.50%;-2.63%;-27.79%;-28.48%;-8.05%;-13.20%;-14.34%;-6.34%;-13.26%;-5.87%;16.10%;41.78%;-11.81%;-22.41%;-11.14%;-16.43%;-20.85%;-17.64%;-3.17%;-14.86%;-18.76%;-31.33%;-49.31%;-3.99%;-14.11%;-21.16%;-8.49%;-42.74%;-10.65%;-29.65%;-3.42%;-17.50%;-16.28%;-20.33%;-17.35%;-9.32%;-22.81%;0.69%;-21.84%;-17.79%;8.59%;-14.40%;-14.14%;-16.28%;-11.82%;1.28%;-11.08%;-16.84%;-11.81%;-8.10%;
31.03.2009;-1.37%;4.71%;17.00%;-2.48%;21.62%;0.61%;-5.55%;11.34%;23.33%;8.20%;20.24%;15.33%;6.79%;3.47%;11.02%;5.84%;30.48%;5.40%;30.29%;-8.33%;11.84%;27.33%;13.70%;15.64%;13.20%;1.30%;18.81%;-22.12%;19.26%;32.23%;7.69%;13.43%;0.98%;1.14%;20.66%;16.85%;9.97%;2.66%;7.60%;1.17%;21.80%;8.82%;6.05%;8.22%;34.89%;8.99%;7.43%;10.87%;12.53%;6.94%;
30.04.2009;23.47%;-11.38%;49.23%;1.12%;18.06%;-4.83%;43.68%;6.63%;33.60%;1.52%;8.74%;34.54%;16.68%;9.03%;-6.26%;0.01%;51.15%;12.62%;7.20%;5.96%;21.83%;11.82%;69.34%;13.52%;15.45%;0.85%;16.63%;68.01%;19.98%;58.39%;-8.60%;7.52%;34.65%;3.09%;19.38%;34.72%;44.64%;7.40%;35.14%;5.72%;10.92%;32.18%;35.62%;7.36%;8.74%;4.96%;6.88%;31.32%;2.91%;4.17%;
31.05.2009;-2.92%;11.78%;22.88%;1.04%;-1.70%;5.55%;-2.23%;-5.59%;-4.62%;-5.66%;-7.79%;-29.43%;2.14%;2.30%;-4.50%;2.56%;4.44%;7.25%;-1.29%;-7.60%;-4.62%;37.66%;40.50%;-14.74%;-7.06%;39.41%;9.35%;68.86%;-0.12%;-19.11%;6.05%;7.91%;-2.41%;2.99%;0.95%;-10.95%;-2.85%;-5.55%;-8.17%;2.18%;36.10%;-6.13%;20.37%;-6.86%;-4.96%;-7.17%;-2.87%;-4.11%;-0.92%;-7.61%;
30.06.2009;8.60%;-2.18%;-11.65%;7.01%;-0.29%;3.46%;-1.28%;-1.15%;9.16%;7.63%;-6.71%;2.05%;6.08%;5.79%;7.21%;7.59%;-8.54%;-8.61%;-5.38%;3.87%;-2.15%;-7.77%;6.63%;12.47%;5.22%;0.00%;-0.24%;-9.18%;1.16%;-6.77%;-6.89%;1.18%;-4.25%;9.04%;-0.13%;11.02%;5.64%;5.42%;-6.79%;21.90%;1.61%;-5.21%;-4.06%;-1.55%;9.73%;4.02%;5.75%;-6.82%;3.78%;8.21%;
31.07.2009;19.86%;12.51%;21.78%;3.83%;16.30%;7.02%;12.09%;9.90%;22.15%;7.12%;10.96%;23.82%;2.78%;9.54%;5.18%;3.75%;32.44%;6.21%;13.70%;6.32%;12.11%;5.45%;-1.92%;3.09%;11.03%;58.05%;-8.51%;23.13%;8.06%;44.56%;11.98%;0.87%;42.87%;6.00%;25.28%;4.95%;28.92%;5.54%;23.97%;2.82%;6.59%;19.72%;14.87%;10.16%;0.53%;5.89%;8.47%;5.66%;-3.76%;8.60%;
31.08.2009;-2.05%;-4.28%;7.29%;6.06%;0.58%;0.98%;14.52%;6.50%;5.37%;3.63%;-0.32%;15.70%;1.71%;0.93%;2.11%;3.37%;5.03%;14.77%;-2.93%;9.54%;9.33%;9.50%;11.49%;12.05%;-2.56%;26.73%;0.69%;19.19%;12.29%;-2.83%;-2.26%;0.16%;0.68%;4.68%;0.73%;6.05%;1.06%;-0.73%;4.74%;4.48%;4.33%;1.94%;4.70%;5.39%;10.29%;-2.62%;0.29%;15.60%;3.60%;-3.14%;
30.09.2009;0.13%;1.88%;5.92%;-6.27%;3.40%;0.16%;8.20%;1.05%;-0.74%;0.90%;8.82%;-14.65%;12.88%;1.04%;3.37%;0.51%;2.65%;6.66%;20.78%;2.67%;-1.60%;1.92%;3.29%;-0.73%;5.71%;2.43%;14.63%;2.65%;3.08%;-4.85%;-0.51%;5.55%;-6.20%;-0.27%;6.06%;-4.39%;2.51%;7.60%;-6.12%;2.11%;0.23%;4.30%;12.12%;8.60%;6.76%;6.01%;4.69%;17.28%;-3.21%;-0.44%;
31.10.2009;4.02%;3.08%;-2.92%;-2.32%;-0.01%;-4.74%;-6.58%;-0.91%;-3.91%;-0.75%;-5.79%;-3.94%;-2.79%;6.79%;-0.64%;-4.37%;-1.09%;-4.31%;-3.31%;-5.34%;-2.83%;-6.22%;-18.91%;-9.55%;1.72%;-12.74%;-6.44%;-8.03%;-2.90%;-10.19%;-13.18%;-14.59%;-11.88%;-4.57%;-3.06%;-7.27%;-3.87%;-0.84%;5.09%;-0.53%;-20.17%;6.84%;-9.51%;-14.87%;-2.14%;-4.08%;-1.17%;-1.00%;-4.12%;0.25%;
30.11.2009;6.28%;2.29%;10.94%;6.78%;7.52%;0.91%;10.22%;0.63%;4.27%;7.07%;19.56%;-6.20%;8.49%;8.46%;5.48%;7.01%;14.49%;6.08%;12.96%;-0.46%;8.96%;7.09%;0.26%;-2.10%;4.65%;41.43%;5.99%;-3.82%;7.64%;-4.09%;-1.51%;6.42%;-7.76%;13.84%;5.32%;-3.75%;6.20%;3.12%;-1.04%;12.04%;-1.62%;7.38%;5.85%;5.32%;2.55%;-1.71%;-1.65%;5.36%;-2.83%;3.80%;
31.12.2009;3.51%;2.07%;1.11%;7.54%;-2.25%;7.57%;0.13%;2.82%;2.51%;11.03%;13.83%;5.74%;2.42%;8.68%;7.36%;2.14%;0.20%;4.89%;-8.70%;9.25%;5.29%;1.08%;-4.45%;0.21%;5.13%;9.36%;1.62%;8.60%;3.81%;15.87%;5.88%;10.00%;6.31%;4.25%;-0.59%;20.33%;8.75%;0.63%;17.81%;5.21%;5.42%;6.05%;21.11%;9.19%;-10.67%;8.91%;8.63%;-2.33%;1.10%;2.64%;
31.01.2010;-1.87%;-4.28%;4.71%;-7.26%;-5.78%;-1.35%;-2.59%;2.13%;-1.53%;-3.13%;-7.35%;8.86%;3.05%;-2.37%;-3.72%;-3.35%;-5.46%;-3.57%;-4.36%;-6.09%;-4.02%;2.16%;31.59%;3.93%;-9.41%;17.23%;-4.99%;-1.21%;-2.82%;-13.00%;-3.02%;-11.86%;-3.77%;-2.08%;0.24%;0.71%;2.68%;-4.37%;-3.27%;-2.72%;-1.49%;0.17%;-12.95%;-16.10%;-7.66%;2.07%;-6.05%;-10.91%;-2.06%;-0.26%;
28.02.2010;6.88%;-2.04%;2.11%;-3.29%;-9.72%;-1.15%;4.72%;1.89%;25.73%;0.66%;13.51%;4.83%;5.55%;3.28%;-2.26%;-2.07%;5.34%;7.79%;5.08%;-11.39%;7.11%;3.92%;0.42%;14.47%;10.27%;-0.19%;15.72%;2.48%;12.13%;24.56%;5.48%;1.47%;8.82%;3.13%;4.87%;3.64%;12.13%;10.91%;3.28%;-0.65%;4.73%;11.71%;6.96%;-1.77%;3.66%;7.98%;-0.58%;-2.80%;-4.66%;11.43%;
31.03.2010;16.05%;-1.07%;10.44%;5.54%;7.83%;2.23%;11.06%;7.51%;9.44%;2.24%;-2.95%;2.24%;3.89%;2.72%;5.64%;4.72%;6.94%;4.71%;11.17%;2.42%;5.58%;15.08%;12.06%;7.48%;6.77%;30.68%;1.52%;21.92%;-0.29%;5.43%;3.70%;9.61%;13.31%;3.63%;7.21%;9.57%;4.81%;4.33%;3.38%;1.56%;0.51%;0.28%;11.81%;9.43%;2.60%;2.50%;5.30%;15.22%;7.27%;-0.11%;
30.04.2010;-1.79%;-3.32%;-6.13%;1.04%;4.52%;-18.47%;5.22%;-0.29%;16.59%;5.17%;0.03%;16.59%;11.70%;9.27%;1.48%;1.53%;5.84%;19.01%;2.52%;-3.12%;7.27%;0.34%;25.65%;-3.56%;1.51%;-3.52%;2.56%;-0.36%;6.72%;17.21%;0.00%;0.66%;9.02%;-1.03%;7.60%;-10.02%;7.74%;5.50%;11.17%;1.34%;-3.61%;8.88%;9.49%;21.25%;9.93%;0.32%;3.54%;7.88%;12.39%;3.44%;
31.05.2010;-9.37%;-9.56%;-13.07%;-5.01%;-10.05%;-10.57%;-2.76%;-4.40%;-5.88%;-9.72%;-5.22%;-17.02%;-14.04%;-5.52%;-5.77%;-5.85%;-9.76%;-0.56%;-9.53%;-7.02%;-4.77%;-3.75%;-8.88%;-16.67%;-8.70%;-4.09%;-6.17%;-13.47%;0.02%;-11.89%;-7.58%;-5.01%;-2.20%;-4.65%;-8.95%;-7.63%;-12.01%;-4.76%;-8.26%;-9.58%;-12.25%;-10.23%;-10.22%;-11.87%;6.64%;-2.25%;-8.32%;-12.43%;-2.68%;-4.97%;
30.06.2010;3.37%;2.74%;-3.09%;-3.61%;-6.15%;-3.77%;-6.96%;-4.85%;-3.95%;0.73%;7.95%;-19.14%;-6.35%;0.22%;2.57%;-1.98%;-11.64%;-7.31%;-1.22%;1.56%;-4.65%;-3.92%;-10.06%;-6.51%;-6.45%;-14.12%;-5.07%;-8.20%;-5.78%;-18.52%;-8.09%;-11.08%;-8.17%;3.56%;-4.95%;-6.39%;-7.69%;-3.55%;-6.83%;9.80%;-11.40%;-8.92%;-11.20%;-12.73%;-22.21%;-2.28%;0.95%;-5.45%;-1.97%;-4.51%;
31.07.2010;13.47%;5.96%;15.28%;8.46%;12.80%;8.46%;15.56%;8.00%;22.23%;8.67%;-2.34%;12.11%;14.79%;2.33%;7.01%;5.53%;18.29%;8.83%;11.96%;7.01%;12.26%;7.51%;9.57%;1.51%;12.60%;17.62%;8.63%;7.20%;9.73%;6.93%;1.21%;3.15%;0.96%;4.76%;15.00%;6.92%;10.31%;11.69%;9.19%;2.01%;15.11%;14.85%;10.36%;3.22%;13.89%;5.56%;7.25%;11.58%;4.60%;5.68%;
31.08.2010;-5.73%;12.61%;-3.94%;10.64%;2.00%;-2.79%;-0.61%;-3.19%;-6.53%;9.92%;3.89%;-6.90%;-6.69%;1.49%;3.06%;1.81%;-1.74%;0.63%;-1.93%;-3.10%;1.41%;-7.01%;-12.54%;0.28%;-6.92%;-3.92%;-7.41%;-10.22%;1.16%;-9.44%;-1.83%;-6.03%;-16.63%;6.02%;-5.24%;-14.30%;-5.56%;-6.91%;-7.70%;-4.80%;-9.87%;-7.55%;-16.54%;-18.74%;-19.02%;-6.23%;-2.41%;-9.29%;-4.90%;-7.61%;
30.09.2010;12.74%;4.12%;10.08%;1.18%;11.87%;12.13%;2.11%;8.06%;22.12%;3.94%;14.58%;8.77%;17.37%;-1.96%;2.74%;1.90%;20.23%;3.47%;10.65%;7.03%;2.99%;7.68%;7.36%;12.91%;19.20%;27.82%;5.95%;2.35%;3.21%;20.29%;4.57%;3.86%;9.47%;3.56%;11.46%;21.17%;21.52%;12.22%;13.61%;4.22%;7.35%;14.24%;24.05%;1.09%;22.17%;14.63%;4.58%;14.84%;6.45%;6.35%;
31.10.2010;-3.21%;4.39%;8.08%;3.43%;3.20%;7.45%;4.31%;3.60%;-2.74%;2.00%;6.75%;-6.21%;1.70%;3.00%;3.11%;8.28%;6.90%;4.21%;8.20%;-5.76%;1.21%;8.11%;-0.36%;0.12%;1.61%;4.19%;3.60%;2.34%;4.72%;7.58%;3.49%;1.02%;0.35%;-0.27%;5.36%;4.27%;1.04%;6.52%;9.65%;6.20%;10.92%;1.77%;0.90%;-1.11%;5.23%;11.42%;0.68%;-2.07%;10.40%;1.40%;
30.11.2010;5.90%;-13.00%;-7.85%;-0.90%;1.47%;-4.67%;-2.77%;2.38%;10.24%;-2.23%;8.43%;-3.74%;3.22%;-4.73%;-2.72%;0.11%;-0.97%;-1.88%;1.01%;-3.33%;-5.60%;0.33%;3.18%;2.31%;4.28%;-12.91%;1.53%;-2.41%;1.59%;-8.37%;1.35%;-1.26%;5.21%;-0.55%;1.64%;2.25%;6.01%;4.44%;3.78%;-1.60%;3.45%;-3.94%;5.52%;9.89%;3.75%;3.72%;2.11%;3.27%;2.60%;-0.91%;
31.12.2010;-3.37%;4.28%;10.18%;-1.85%;5.49%;4.26%;2.74%;5.11%;13.60%;4.69%;5.31%;19.26%;7.16%;1.73%;3.72%;4.49%;8.06%;3.05%;6.01%;7.04%;0.70%;3.95%;17.64%;14.76%;4.40%;14.13%;12.18%;16.46%;3.45%;8.03%;10.16%;16.11%;7.02%;2.55%;8.59%;10.92%;9.04%;5.55%;7.56%;4.44%;7.27%;12.33%;18.38%;11.34%;10.84%;10.01%;4.92%;13.38%;5.06%;6.05%;
31.01.2011;12.42%;8.61%;2.04%;1.98%;-3.55%;-3.60%;10.24%;2.39%;-3.75%;4.84%;1.77%;3.86%;9.67%;3.35%;0.69%;-5.24%;11.08%;2.48%;7.51%;5.67%;4.10%;4.29%;5.55%;5.84%;1.38%;-10.99%;0.47%;3.70%;0.41%;-2.13%;-5.69%;5.63%;8.16%;-1.79%;0.25%;2.48%;12.97%;1.65%;0.09%;-5.32%;0.84%;9.31%;18.80%;-4.06%;1.71%;-3.85%;4.49%;-0.59%;3.43%;-0.30%;
28.02.2011;-5.32%;13.80%;2.22%;-1.45%;5.44%;9.61%;1.64%;6.27%;-4.50%;-1.23%;7.87%;-4.44%;0.23%;1.77%;0.14%;2.32%;0.59%;6.71%;4.05%;-2.10%;4.66%;5.01%;-5.52%;1.31%;4.39%;-7.19%;1.49%;10.17%;2.96%;4.61%;-0.79%;4.47%;2.38%;5.04%;4.86%;1.72%;8.30%;8.45%;1.41%;10.75%;-4.28%;4.33%;11.69%;7.73%;28.77%;3.32%;3.74%;-5.16%;5.92%;9.64%;
31.03.2011;9.75%;-2.72%;-9.85%;0.39%;-1.98%;1.17%;-1.12%;-3.70%;8.66%;3.08%;12.34%;-1.30%;2.76%;3.99%;2.71%;-1.43%;6.33%;0.18%;0.08%;-0.45%;-3.11%;1.89%;-2.92%;10.01%;5.84%;15.86%;9.50%;-5.30%;-1.19%;5.23%;-1.59%;-4.05%;-3.41%;1.33%;8.40%;-3.65%;8.33%;2.77%;5.13%;4.43%;0.49%;1.57%;-4.40%;0.02%;-4.36%;3.84%;1.84%;5.78%;-1.30%;5.67%;
30.04.2011;-0.83%;2.80%;6.46%;5.88%;6.61%;6.44%;10.80%;-2.18%;9.63%;0.81%;7.85%;6.78%;3.50%;4.43%;2.76%;8.28%;8.53%;10.20%;4.47%;7.81%;8.25%;0.91%;2.41%;-0.81%;7.49%;16.59%;4.98%;3.96%;4.13%;-1.82%;-0.95%;2.85%;26.16%;1.40%;-0.57%;-0.88%;-7.95%;0.03%;2.85%;5.15%;4.01%;-5.16%;-9.60%;-0.88%;5.27%;3.30%;2.32%;-0.52%;0.19%;3.96%;
31.05.2011;-5.38%;-12.45%;-14.95%;1.36%;-0.45%;4.60%;3.65%;-3.98%;-12.43%;0.71%;0.01%;-2.09%;-1.19%;2.16%;1.80%;0.23%;-1.31%;1.57%;1.33%;11.66%;0.05%;-0.93%;-2.80%;-2.36%;-2.99%;-4.06%;-3.84%;-5.87%;3.57%;10.79%;-2.40%;-9.84%;-0.07%;5.59%;-6.31%;-9.10%;-4.61%;-3.37%;-2.35%;5.61%;-1.68%;1.69%;-0.56%;-10.42%;1.30%;-4.05%;-4.41%;1.44%;2.09%;1.96%;
30.06.2011;2.00%;-6.51%;-1.78%;-2.93%;0.52%;0.29%;-2.02%;-4.08%;-1.42%;-0.20%;5.78%;-5.11%;1.29%;-3.10%;1.46%;-1.55%;-3.57%;-1.69%;-7.47%;0.26%;-2.76%;-3.01%;-0.61%;-6.19%;1.12%;6.82%;2.99%;-2.93%;-1.58%;-9.82%;-5.80%;-2.65%;-0.96%;-1.50%;3.01%;-1.46%;4.83%;-0.20%;4.15%;-3.02%;-1.49%;-1.93%;-7.56%;-4.24%;-6.77%;1.65%;0.71%;-8.21%;-2.46%;-3.19%;
31.07.2011;-1.96%;0.76%;-1.33%;1.27%;-6.60%;-2.02%;1.62%;-5.02%;1.34%;-2.79%;-3.47%;3.12%;-10.81%;0.84%;-1.20%;-0.94%;-4.92%;4.56%;-10.00%;1.13%;3.34%;-5.54%;-7.63%;-7.93%;-9.53%;-7.92%;-3.93%;-6.98%;4.92%;-13.27%;-1.72%;-4.78%;-10.26%;-5.00%;-7.26%;1.29%;-17.29%;-2.00%;-8.99%;1.94%;-7.65%;-8.72%;-8.85%;-11.00%;-11.71%;-6.33%;0.54%;-18.33%;-15.00%;-0.49%;
31.08.2011;-4.91%;-6.25%;-18.11%;5.00%;-7.73%;-3.76%;-2.86%;2.16%;-11.40%;2.93%;-1.56%;-11.45%;-4.88%;1.44%;6.86%;-2.31%;-14.35%;2.27%;-4.55%;-0.90%;3.68%;-5.40%;-17.02%;-10.39%;-10.03%;-7.86%;-10.91%;-21.56%;1.88%;-4.77%;-14.43%;-7.23%;-3.07%;5.75%;-9.04%;-12.64%;-10.63%;-5.61%;-6.95%;-7.48%;-14.35%;-5.76%;-10.30%;2.16%;-2.00%;9.53%;0.33%;-7.73%;-3.67%;7.93%;
30.09.2011;-18.48%;-12.39%;-6.59%;-1.62%;-6.72%;0.29%;-14.57%;-5.69%;-11.73%;1.58%;5.15%;-13.73%;-18.51%;-3.05%;2.59%;2.85%;-17.16%;-16.38%;1.54%;2.77%;-8.99%;-8.77%;-4.38%;-8.59%;-16.19%;-13.07%;-10.13%;-24.67%;-15.75%;-13.40%;-8.95%;-12.31%;1.57%;-2.94%;-7.06%;-10.72%;-12.04%;-10.45%;-15.54%;1.79%;-9.46%;-20.25%;-9.01%;-20.70%;-3.78%;-10.18%;-2.19%;-13.84%;-14.94%;1.95%;
31.10.2011;16.02%;16.65%;29.01%;8.50%;13.63%;-1.50%;11.70%;11.53%;21.76%;5.20%;-12.44%;23.12%;19.16%;7.58%;1.49%;7.05%;15.50%;19.93%;11.75%;0.11%;8.58%;17.41%;8.78%;5.98%;13.77%;-1.43%;17.14%;21.88%;3.62%;22.70%;16.60%;20.72%;11.61%;6.15%;22.29%;24.55%;20.80%;17.69%;20.88%;5.67%;26.30%;30.04%;30.06%;13.53%;24.06%;16.41%;5.76%;7.00%;24.04%;-0.05%;
30.11.2011;6.11%;4.08%;-3.66%;6.05%;-2.77%;-6.04%;-3.65%;2.45%;-3.12%;0.48%;-11.60%;7.01%;-1.01%;1.04%;2.68%;-3.18%;0.84%;-6.94%;-6.23%;-1.09%;-0.37%;4.42%;1.35%;9.24%;3.38%;0.00%;8.06%;6.28%;-7.15%;3.63%;-7.02%;4.37%;4.38%;5.19%;1.55%;0.23%;10.91%;5.21%;-4.42%;-1.35%;-1.83%;2.47%;-6.01%;3.68%;-11.60%;1.93%;-0.32%;-1.47%;-5.17%;0.16%;
31.12.2011;2.19%;-4.49%;0.32%;-2.01%;1.72%;-4.22%;4.42%;2.73%;-8.25%;6.65%;15.12%;6.23%;6.27%;3.42%;5.45%;5.32%;-1.41%;5.77%;-6.09%;0.83%;2.62%;1.88%;4.57%;-0.57%;1.78%;9.01%;-1.12%;-3.77%;9.12%;9.70%;5.39%;0.36%;-0.82%;1.62%;-4.24%;8.03%;-1.65%;1.97%;-0.72%;3.51%;1.66%;3.99%;1.26%;21.34%;-2.87%;0.41%;-1.52%;9.42%;8.49%;3.82%;
31.01.2012;5.88%;0.10%;11.49%;-3.31%;4.04%;12.86%;5.04%;8.75%;18.15%;-1.13%;2.30%;10.39%;9.23%;-1.15%;-4.95%;-0.09%;29.74%;3.24%;1.19%;-4.70%;4.88%;5.25%;5.01%;16.45%;9.19%;17.92%;13.31%;10.92%;2.19%;2.19%;4.54%;13.46%;12.99%;-1.91%;7.29%;-2.71%;6.13%;7.51%;11.64%;0.78%;-2.37%;3.82%;19.96%;11.46%;15.13%;-3.74%;-2.82%;-4.45%;0.66%;-0.85%;
29.02.2012;6.72%;8.98%;-2.03%;1.36%;2.51%;4.78%;-2.40%;7.62%;15.93%;-1.92%;10.22%;3.02%;0.96%;1.47%;-1.46%;2.02%;7.57%;-2.78%;-1.04%;4.90%;0.94%;6.36%;2.27%;1.67%;3.61%;-4.18%;0.27%;15.78%;-1.36%;3.84%;7.87%;-2.16%;7.03%;0.61%;1.86%;2.67%;2.71%;-1.85%;8.18%;-4.39%;7.78%;9.43%;0.43%;1.60%;-0.96%;-5.28%;-5.18%;12.34%;4.11%;5.22%;
31.03.2012;-0.47%;2.05%;-2.00%;1.59%;1.73%;2.84%;3.39%;-1.88%;-0.12%;3.89%;2.81%;6.07%;-1.21%;1.93%;1.59%;1.53%;-4.51%;8.23%;13.66%;4.24%;1.51%;2.91%;10.26%;3.96%;0.79%;13.80%;6.45%;6.12%;7.47%;4.72%;6.85%;-1.33%;2.80%;1.85%;5.65%;7.13%;0.18%;8.35%;0.29%;8.68%;7.74%;0.21%;2.86%;-4.09%;-0.39%;5.43%;3.49%;-1.21%;0.63%;3.56%;
