date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD;portfolio
30.04.2018;-3.52%;4.63%;4.14%;4.39%;2.76%;7.11%;-0.81%;-4.61%;-1.38%;4.20%;-0.04%;0.68%;-5.62%;1.84%;2.81%;3.92%;-2.82%;0.39%;-5.17%;1.15%;0.63%;3.05%;-0.58%;3.83%;-6.21%;-25.67%;0.24%;-3.31%;0.24%;-9.62%;3.92%;1.51%;-4.82%;0.88%;-5.13%;4.94%;-5.55%;-5.88%;-1.04%;-8.01%;0.48%;-7.21%;-28.79%;-2.17%;1.97%;-4.92%;3.15%;-0.97%;7.04%;-8.26%;
31.05.2018;3.10%;-3.66%;-1.12%;0.97%;-0.54%;1.93%;0.30%;-1.38%;-10.93%;-2.25%;-1.05%;-4.37%;3.11%;-2.82%;-4.24%;-5.13%;2.18%;-0.28%;6.29%;0.06%;2.62%;-2.02%;-0.27%;-2.32%;3.76%;10.22%;9.09%;-5.71%;3.33%;-2.78%;-3.96%;4.17%;2.96%;-0.26%;-4.68%;4.82%;6.61%;4.55%;1.77%;-5.77%;-3.68%;-1.66%;16.47%;14.37%;12.41%;2.58%;2.67%;0.21%;2.02%;1.62%;
30.06.2018;-6.22%;5.62%;-3.98%;2.80%;-3.52%;4.51%;3.00%;-3.62%;-5.90%;3.28%;4.04%;-2.59%;-4.62%;1.17%;2.59%;1.79%;-4.17%;0.02%;-1.13%;5.45%;6.44%;-4.03%;-0.74%;4.91%;-1.28%;-1.86%;-4.92%;-6.09%;7.60%;5.01%;0.36%;-2.63%;6.32%;1.19%;3.22%;2.68%;-4.74%;0.04%;9.32%;0.67%;-3.14%;-4.62%;0.66%;1.25%;5.60%;5.94%;1.62%;-2.79%;0.09%;13.75%;
31.07.2018;0.64%;5.30%;8.18%;2.83%;6.17%;-1.88%;0.74%;13.99%;7.38%;2.24%;10.64%;6.59%;13.36%;5.70%;1.22%;6.32%;4.20%;1.39%;1.65%;-1.34%;0.00%;8.18%;5.36%;7.95%;12.53%;-0.69%;-1.36%;9.40%;0.11%;-12.09%;6.57%;7.74%;1.16%;-0.16%;6.68%;16.37%;12.83%;9.42%;5.52%;3.39%;-4.71%;13.05%;13.61%;-13.22%;-4.51%;4.49%;1.92%;12.87%;5.52%;5.15%;
31.08.2018;-2.14%;4.43%;-0.64%;1.89%;1.29%;2.65%;3.92%;1.38%;-0.71%;1.86%;-1.80%;1.85%;3.48%;2.40%;0.00%;-1.35%;-6.36%;2.42%;13.92%;5.50%;4.07%;0.03%;4.99%;-7.34%;0.07%;11.08%;0.71%;-3.20%;3.71%;1.71%;-1.61%;-6.62%;7.18%;-1.48%;-0.11%;3.19%;-3.52%;-1.02%;4.24%;-6.97%;-1.59%;-5.98%;-4.76%;-1.07%;18.17%;9.36%;0.39%;-8.28%;4.17%;1.22%;
30.09.2018;-8.11%;0.42%;2.36%;-0.02%;0.46%;3.92%;-5.64%;0.18%;3.83%;0.26%;8.35%;-4.96%;3.67%;-1.81%;-2.59%;2.97%;-1.35%;0.17%;-2.20%;0.43%;-3.17%;-1.40%;-7.96%;3.07%;-1.66%;-6.53%;-1.30%;3.17%;-3.26%;-8.48%;-4.96%;1.52%;1.88%;0.80%;-0.84%;-9.65%;4.17%;-0.72%;4.35%;0.01%;-3.60%;4.21%;-10.22%;0.62%;3.32%;1.27%;2.36%;3.01%;-2.74%;5.34%;
31.10.2018;-14.69%;-6.01%;-8.50%;2.87%;-7.00%;-18.91%;-1.12%;3.08%;-6.42%;1.06%;-6.80%;-14.75%;-6.43%;3.80%;-0.25%;3.46%;-17.67%;2.44%;0.02%;0.30%;-1.12%;-2.34%;-3.09%;-4.86%;-15.82%;-6.17%;-7.00%;-11.04%;-2.47%;-28.87%;-7.41%;-6.26%;-12.66%;3.88%;-3.70%;-14.00%;-12.15%;-4.49%;-16.15%;5.56%;-17.49%;-20.06%;-6.64%;-9.05%;-6.61%;-2.46%;-0.88%;-15.86%;-4.70%;0.00%;
30.11.2018;4.61%;-2.60%;6.20%;6.26%;4.22%;9.66%;8.65%;3.93%;10.51%;5.19%;7.94%;3.50%;2.47%;6.53%;5.72%;-20.28%;0.60%;4.68%;4.80%;1.48%;6.48%;2.25%;1.81%;13.90%;8.68%;-0.88%;-3.84%;5.11%;7.02%;2.67%;5.49%;2.18%;11.50%;9.61%;4.03%;2.15%;5.83%;5.34%;7.99%;-3.52%;6.21%;12.30%;3.60%;4.52%;-14.90%;7.36%;2.78%;6.26%;3.28%;11.49%;
31.12.2018;-9.88%;-10.32%;0.18%;-4.94%;-0.51%;-3.71%;-14.21%;-5.27%;-10.83%;-3.99%;-8.73%;-6.49%;-15.94%;-7.88%;-3.98%;2.62%;-7.24%;-6.59%;-14.42%;0.22%;-10.64%;-13.75%;-18.30%;-7.45%;-8.11%;-1.03%;-12.33%;-18.52%;-7.59%;-8.67%;-15.76%;-14.24%;-8.25%;-4.66%;-6.08%;-7.05%;-13.22%;-10.44%;-12.10%;-9.87%;-13.63%;-8.02%;-11.86%;-6.28%;-6.14%;-14.55%;-2.56%;-6.82%;-5.03%;-0.32%;
31.01.2019;12.08%;9.59%;4.70%;7.02%;3.42%;10.13%;18.16%;5.50%;10.08%;5.02%;9.53%;10.93%;23.79%;7.60%;1.56%;1.44%;11.23%;11.44%;9.24%;4.39%;13.27%;12.38%;12.37%;8.03%;9.19%;26.73%;15.05%;13.99%;5.83%;10.11%;6.49%;19.11%;0.85%;3.43%;3.14%;12.64%;12.65%;6.28%;14.25%;12.18%;13.25%;5.60%;14.69%;2.88%;2.54%;3.16%;5.30%;16.91%;-1.45%;-1.75%;
28.02.2019;9.01%;-5.35%;3.02%;2.74%;10.21%;3.09%;0.62%;7.03%;4.74%;5.12%;2.61%;1.14%;3.07%;4.93%;6.18%;5.13%;2.57%;3.19%;7.57%;3.95%;0.77%;-1.23%;8.84%;6.19%;4.86%;7.00%;0.59%;7.63%;3.29%;5.69%;5.36%;-1.09%;6.42%;7.28%;6.19%;5.84%;5.33%;14.46%;-3.61%;0.98%;1.37%;4.74%;13.45%;9.65%;-17.33%;6.50%;1.25%;3.44%;9.06%;1.84%;
31.03.2019;2.68%;2.33%;2.31%;3.24%;5.40%;9.08%;0.90%;-1.06%;3.21%;2.10%;3.56%;6.82%;4.16%;0.95%;3.84%;3.39%;-8.24%;3.36%;5.86%;3.12%;3.19%;-0.74%;-12.01%;2.65%;5.30%;-0.26%;-5.70%;-6.11%;5.55%;-7.32%;-2.99%;-3.67%;3.40%;1.96%;1.25%;-4.00%;-1.19%;5.66%;-1.59%;10.91%;-8.43%;2.82%;-2.21%;6.52%;8.15%;5.24%;4.68%;4.59%;-0.08%;8.63%;
30.04.2019;-1.41%;3.41%;0.76%;-0.41%;8.43%;-6.16%;3.54%;12.70%;5.33%;0.02%;-2.11%;7.08%;4.52%;1.55%;1.59%;3.99%;4.75%;-1.67%;11.12%;1.01%;-2.16%;6.97%;10.88%;-4.17%;3.24%;-10.71%;-6.72%;13.66%;0.07%;8.01%;9.72%;-1.51%;11.69%;-0.32%;4.10%;-4.71%;2.99%;5.18%;7.51%;5.26%;3.55%;8.20%;22.99%;6.51%;2.61%;-7.09%;-0.57%;-1.61%;7.59%;5.22%;
