date;AOS;ADM;AFL;AEE;APD;BAX;BXP;CINF;CMI;CMS;COO;DHI;DOV;DTE;ED;EIX;EMN;ESS;FDS;FE;FRT;GL;HBAN;HOLX;IEX;INCY;JBHT;LNC;MAA;MHK;NTRS;NUE;POOL;PNW;PPG;RHI;ROK;ROP;SNA;SJM;STT;SWK;TER;VMC;TTWO;ROL;ATO;AVY;BRO;CHD
31.08.2004;-14.61%;3.39%;1.05%;4.59%;1.11%;1.45%;4.77%;1.07%;-3.19%;6.20%;-2.63%;11.87%;-5.02%;2.75%;2.89%;0.19%;4.03%;11.80%;3.09%;2.81%;7.43%;-1.64%;0.87%;-7.14%;-4.02%;11.31%;-11.85%;4.35%;12.19%;4.49%;7.11%;-6.52%;2.22%;5.29%;1.28%;-12.04%;4.14%;-1.46%;-1.17%;9.86%;5.33%;1.92%;-24.85%;-0.01%;4.72%;0.80%;0.37%;2.50%;5.49%;1.68%
30.09.2004;-0.40%;6.72%;-2.09%;-1.48%;3.71%;5.19%;-0.27%;2.05%;10.20%;-0.94%;18.18%;7.21%;3.31%;2.00%;0.88%;-1.49%;2.08%;-2.69%;8.30%;2.96%;-3.15%;3.19%;0.86%;3.94%;10.44%;40.89%;9.53%;3.64%;-1.88%;3.10%;-5.34%;16.60%;-4.81%;-1.79%;3.22%;5.31%;-0.44%;4.08%;-12.68%;-2.98%;-5.49%;-1.80%;4.01%;7.36%;0.20%;4.14%;0.72%;6.36%;1.84%;-6.33%
31.10.2004;8.88%;13.97%;-8.60%;5.33%;-1.79%;-4.46%;9.00%;1.86%;-5.27%;-1.79%;2.52%;-9.50%;0.92%;2.40%;3.24%;15.81%;0.68%;10.31%;3.29%;0.50%;8.96%;1.47%;-3.17%;4.09%;8.55%;7.89%;9.91%;-6.92%;0.87%;7.06%;4.61%;-7.39%;9.05%;2.59%;3.92%;2.84%;7.62%;7.20%;6.49%;0.09%;5.77%;5.25%;23.47%;-2.41%;0.22%;8.37%;2.35%;-7.62%;-8.73%;-3.10%
30.11.2004;13.75%;9.30%;4.70%;0.72%;7.50%;2.74%;0.62%;7.16%;13.46%;8.82%;-1.32%;17.55%;2.85%;2.59%;0.77%;4.44%;14.41%;2.49%;3.48%;2.03%;5.54%;1.70%;1.14%;24.30%;8.62%;-1.40%;-1.77%;5.70%;1.70%;2.93%;10.43%;25.12%;7.87%;4.71%;5.69%;1.73%;13.31%;-0.17%;7.44%;2.05%;-1.24%;4.88%;2.87%;4.01%;5.89%;-6.98%;4.42%;-3.73%;-3.05%;14.55%
31.12.2004;-0.53%;5.46%;6.01%;3.39%;1.10%;8.97%;7.30%;-1.37%;5.49%;2.29%;1.36%;14.32%;3.93%;-1.87%;0.88%;0.25%;6.00%;3.90%;13.14%;-5.74%;2.83%;3.90%;1.82%;9.76%;1.09%;-2.89%;11.49%;1.27%;4.30%;3.89%;3.11%;-1.22%;1.23%;0.32%;1.56%;8.95%;4.99%;-1.43%;9.42%;3.88%;10.07%;5.24%;-0.10%;5.69%;-0.62%;7.29%;2.39%;2.74%;7.44%;7.74%
31.01.2005;-9.61%;8.31%;-0.99%;1.12%;1.97%;-0.62%;-9.90%;0.15%;-7.46%;0.61%;8.54%;-1.47%;-8.84%;2.60%;0.11%;2.01%;-5.59%;-13.48%;-8.66%;0.47%;-7.93%;-4.61%;-6.54%;29.80%;-4.97%;-10.47%;-1.79%;-1.32%;-8.41%;-3.16%;-9.93%;7.39%;-6.99%;-6.26%;0.75%;2.93%;14.17%;-4.62%;-3.80%;-1.05%;-8.62%;-3.08%;-17.97%;3.26%;1.16%;-5.94%;1.12%;0.04%;-0.83%;2.25%
28.02.2005;-2.65%;-0.57%;-3.15%;2.53%;6.14%;5.47%;3.34%;1.22%;-5.64%;15.13%;7.21%;10.10%;0.81%;0.78%;-2.71%;-0.13%;6.47%;0.02%;-7.49%;3.56%;6.22%;-4.54%;-2.21%;3.20%;2.64%;-2.73%;7.09%;2.19%;0.61%;1.23%;-3.35%;10.84%;14.38%;1.09%;4.45%;-4.02%;9.55%;11.30%;-0.19%;5.22%;-2.30%;-2.91%;9.75%;2.28%;3.87%;2.74%;-0.63%;0.86%;7.30%;2.57%
31.03.2005;9.65%;2.14%;-2.73%;-4.99%;0.86%;-4.92%;0.51%;-2.71%;-3.99%;7.20%;-11.69%;-11.12%;-2.07%;2.64%;-0.27%;6.69%;1.97%;-4.34%;0.01%;2.56%;-3.88%;-0.04%;6.01%;-13.81%;1.94%;-21.97%;-7.46%;-3.86%;-3.03%;-6.27%;2.61%;-7.88%;-6.42%;1.61%;-0.18%;-7.55%;-8.82%;1.18%;-3.47%;2.65%;-0.51%;-2.33%;-5.53%;-1.48%;6.42%;9.45%;-1.17%;2.46%;-0.88%;0.24%
30.04.2005;-1.49%;-27.02%;8.89%;6.59%;-6.94%;8.97%;11.37%;-2.94%;-3.55%;-1.13%;-7.55%;4.10%;-3.99%;1.96%;2.40%;5.11%;-8.02%;11.00%;-16.11%;3.53%;11.58%;2.37%;-1.08%;11.40%;-7.89%;-4.31%;-10.90%;-0.59%;4.53%;-7.91%;3.87%;-11.06%;2.05%;-1.64%;-5.76%;-8.15%;-18.59%;3.10%;4.13%;-1.56%;5.95%;-4.59%;-24.73%;-6.88%;-9.94%;5.92%;-2.80%;-15.68%;-5.29%;1.34%
31.05.2005;10.42%;10.10%;1.97%;5.33%;2.31%;-0.78%;0.26%;-1.84%;-0.31%;2.16%;-2.46%;13.10%;3.91%;3.22%;4.91%;1.00%;8.61%;5.09%;15.07%;1.55%;2.94%;-1.51%;-0.96%;3.22%;3.18%;16.25%;2.81%;1.82%;7.41%;6.97%;2.05%;3.40%;9.74%;6.25%;-3.44%;0.24%;10.88%;3.22%;3.80%;0.14%;3.59%;3.43%;17.82%;12.75%;9.24%;3.10%;7.33%;-0.05%;1.61%;0.15%
